epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.13111,2.67926,3.6534,1.78077,0.01667,0.21583,0.01052,0.00343,2.55538,3.54621,1.57589,0.0001,0.0001,0.0001
2,11.6869,2.37361,3.19802,1.52484,0.03222,0.41727,0.02649,0.0089,2.272,3.43914,1.40034,0.000215644,0.000215644,0.000215644
3,13.3874,2.18334,2.6702,1.42184,0.04667,0.60432,0.05491,0.01958,2.07112,3.1968,1.27529,0.000326536,0.000326536,0.000326536
4,14.9974,2.12721,1.77412,1.34043,0.05389,0.69784,0.17933,0.08295,2.03614,2.8529,1.22761,0.000432676,0.000432676,0.000432676
5,16.5474,2.0355,1.51531,1.25857,0.06333,0.82014,0.54431,0.20471,2.03573,2.4642,1.22752,0.000534064,0.000534064,0.000534064
6,18.0774,2.18681,1.71219,1.32721,0.49663,0.63883,0.55268,0.1829,2.13779,2.25423,1.27684,0.0006307,0.0006307,0.0006307
7,19.5176,1.98405,1.53833,1.27716,0.84979,0.32563,0.58329,0.21745,2.07205,2.06006,1.25971,0.000722584,0.000722584,0.000722584
8,20.8876,1.98544,1.50329,1.31632,0.79098,0.38115,0.54123,0.19439,2.12913,1.97429,1.33622,0.000809716,0.000809716,0.000809716
9,22.2777,2.00508,1.45091,1.30247,0.7212,0.43885,0.5144,0.18049,2.18567,1.91321,1.37547,0.000892096,0.000892096,0.000892096
10,23.6076,1.94966,1.41445,1.25255,0.74434,0.50269,0.55451,0.20367,2.13428,1.76482,1.33954,0.000969724,0.000969724,0.000969724
11,24.9381,1.91622,1.34094,1.29144,0.71837,0.43885,0.50423,0.17723,2.28337,1.83468,1.38122,0.0010426,0.0010426,0.0010426
12,26.1781,2.08316,1.42676,1.28764,0.67406,0.50586,0.54881,0.19289,2.1503,1.82595,1.31533,0.00111072,0.00111072,0.00111072
13,27.4881,1.90554,1.43196,1.30103,0.62659,0.46763,0.55107,0.20544,2.07224,1.81249,1.25446,0.0011741,0.0011741,0.0011741
14,28.8081,1.96727,1.48267,1.24496,0.72252,0.45324,0.56467,0.19868,2.12275,1.8304,1.2491,0.00123272,0.00123272,0.00123272
15,30.0381,1.83278,1.3212,1.18277,0.72252,0.45324,0.56467,0.19868,2.12275,1.8304,1.2491,0.00128658,0.00128658,0.00128658
16,31.3381,1.91765,1.33183,1.21619,0.6637,0.45324,0.54942,0.19631,2.04227,1.73058,1.2245,0.0013357,0.0013357,0.0013357
17,32.6781,1.91147,1.28336,1.24473,0.64509,0.52518,0.56247,0.20484,2.05084,1.68983,1.25661,0.0013664,0.0013664,0.0013664
18,33.9781,1.84846,1.25157,1.24286,0.74781,0.46763,0.58343,0.23202,2.0155,1.65364,1.24376,0.0013268,0.0013268,0.0013268
19,35.3081,1.86395,1.29537,1.24614,0.74781,0.46763,0.58343,0.23202,2.0155,1.65364,1.24376,0.0012872,0.0012872,0.0012872
20,36.6181,1.73026,1.15375,1.19641,0.68023,0.52035,0.63718,0.25277,1.96968,1.54156,1.20543,0.0012476,0.0012476,0.0012476
21,37.9081,1.86353,1.20579,1.23065,0.78135,0.5142,0.6502,0.27576,1.92733,1.51702,1.19274,0.001208,0.001208,0.001208
22,39.1982,1.83178,1.22948,1.21357,0.76324,0.61151,0.71317,0.29124,1.95391,1.4579,1.18758,0.0011684,0.0011684,0.0011684
23,40.4382,1.83016,1.24605,1.27032,0.76324,0.61151,0.71317,0.29124,1.95391,1.4579,1.18758,0.0011288,0.0011288,0.0011288
24,41.7482,1.77388,1.14673,1.16321,0.75722,0.61151,0.72722,0.30602,1.90775,1.36623,1.16272,0.0010892,0.0010892,0.0010892
25,43.0382,1.88378,1.21371,1.20637,0.81292,0.55396,0.71364,0.29836,1.93057,1.30989,1.16191,0.0010496,0.0010496,0.0010496
26,44.2982,1.72275,1.12019,1.17789,0.68958,0.60432,0.69132,0.29447,1.9381,1.26583,1.16918,0.00101,0.00101,0.00101
27,45.5282,1.7851,1.10781,1.14742,0.68958,0.60432,0.69132,0.29447,1.9381,1.26583,1.16918,0.0009704,0.0009704,0.0009704
28,46.7982,1.75995,1.10037,1.21803,0.68378,0.64748,0.72278,0.27069,2.02934,1.24237,1.2004,0.0009308,0.0009308,0.0009308
29,48.0782,1.82058,1.11291,1.16877,0.76952,0.67626,0.76991,0.30901,1.93714,1.16401,1.1704,0.0008912,0.0008912,0.0008912
30,49.3782,1.75652,1.13781,1.22342,0.72666,0.69065,0.74136,0.31526,1.8593,1.1477,1.14727,0.0008516,0.0008516,0.0008516
31,50.6282,1.78308,1.06976,1.1771,0.72666,0.69065,0.74136,0.31526,1.8593,1.1477,1.14727,0.000812,0.000812,0.000812
32,51.9583,1.81747,1.07165,1.1924,0.72716,0.65468,0.73968,0.32508,1.82404,1.16249,1.13835,0.0007724,0.0007724,0.0007724
33,53.2683,1.75144,1.1057,1.21859,0.81936,0.65468,0.78086,0.34656,1.80499,1.18198,1.1185,0.0007328,0.0007328,0.0007328
34,54.5382,1.74749,1.10503,1.16854,0.81265,0.65534,0.79083,0.33822,1.8591,1.21238,1.13084,0.0006932,0.0006932,0.0006932
35,55.8282,1.75663,1.12592,1.20395,0.81265,0.65534,0.79083,0.33822,1.8591,1.21238,1.13084,0.0006536,0.0006536,0.0006536
36,57.1783,1.67577,1.07332,1.12273,0.83058,0.63309,0.79175,0.34108,1.85333,1.1847,1.13438,0.000614,0.000614,0.000614
37,58.5083,1.6499,1.07776,1.12935,0.81584,0.66906,0.79903,0.35398,1.8728,1.11596,1.14001,0.0005744,0.0005744,0.0005744
38,59.8283,1.6593,1.04698,1.13424,0.82326,0.70374,0.81808,0.36529,1.82279,1.04115,1.11928,0.0005348,0.0005348,0.0005348
39,61.1582,1.68448,1.02256,1.13839,0.82326,0.70374,0.81808,0.36529,1.82279,1.04115,1.11928,0.0004952,0.0004952,0.0004952
40,62.4883,1.65366,1.0001,1.13056,0.83409,0.7554,0.83374,0.37306,1.74982,0.98272,1.09768,0.0004556,0.0004556,0.0004556
41,99.8954,1.68511,1.19293,1.14848,0.82806,0.76222,0.82016,0.37486,1.7295,0.96701,1.0894,0.000416,0.000416,0.000416
42,101.825,1.62884,1.16299,1.1556,0.80756,0.78493,0.81094,0.36777,1.72876,0.98479,1.08965,0.0003764,0.0003764,0.0003764
43,103.316,1.64291,1.20356,1.1132,0.80756,0.78493,0.81094,0.36777,1.72876,0.98479,1.08965,0.0003368,0.0003368,0.0003368
44,104.876,1.59752,1.11666,1.13059,0.7866,0.74251,0.78204,0.36803,1.72653,1.01467,1.09381,0.0002972,0.0002972,0.0002972
45,106.356,1.65391,1.12802,1.10523,0.80296,0.73381,0.80502,0.37228,1.71795,1.03755,1.09379,0.0002576,0.0002576,0.0002576
46,107.676,1.65916,1.0916,1.16623,0.79222,0.74063,0.80632,0.36957,1.7106,1.03838,1.08861,0.000218,0.000218,0.000218
47,108.896,1.64007,1.09571,1.1484,0.79222,0.74063,0.80632,0.36957,1.7106,1.03838,1.08861,0.0001784,0.0001784,0.0001784
48,110.256,1.60409,1.07619,1.11171,0.79386,0.76259,0.81886,0.37237,1.70692,1.03344,1.08781,0.0001388,0.0001388,0.0001388
49,111.536,1.58225,1.06745,1.11898,0.79652,0.76037,0.82143,0.37929,1.70777,1.02376,1.0879,9.92e-05,9.92e-05,9.92e-05
50,112.766,1.58793,1.05201,1.13086,0.79652,0.79137,0.82322,0.38541,1.69838,1.01748,1.08527,5.96e-05,5.96e-05,5.96e-05
